iter	Passed	Remaining
734	3848	6623
735	3853	6618
736	3859	6613
737	3864	6608
738	3869	6602
739	3874	6597
740	3879	6591
741	3884	6585
742	3890	6581
743	3895	6575
744	3900	6570
745	3905	6565
746	3910	6559
747	3915	6554
748	3920	6548
749	3925	6543
750	3931	6537
751	3936	6533
752	3941	6527
753	3947	6523
754	3954	6521
755	3961	6519
756	3967	6514
757	3972	6509
758	3978	6504
759	3983	6499
760	3988	6493
761	3993	6487
762	3998	6482
763	4003	6476
764	4008	6471
765	4013	6465
766	4018	6460
767	4024	6455
768	4029	6449
769	4034	6444
