စဥ်,အမျိုးအမည်,ကုန်စည်ဒိုင်,နေ့စွဲ,အချင်အတွယ်,စျေးနှုန်း (မြန်မာကျပ်),အတက်/အကျ,%
139,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-05-18,တင်း,"17,728",0,0.00%
140,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-05-19,တင်း,"17,728",0,0.00%
141,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-05-20,တင်း,"18,340",612,3.45%
142,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-05-21,တင်း,"18,340",0,0.00%
143,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-05-22,တင်း,"18,340",0,0.00%
144,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-05-23,တင်း,"19,104",764,4.16%
145,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-05-24,တင်း,"19,104",0,0.00%
146,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-05-25,တင်း,"19,104",0,0.00%
147,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-05-26,တင်း,"19,104",0,0.00%
148,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-05-27,တင်း,"19,408",304,1.59%
149,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-05-28,တင်း,"19,408",0,0.00%
150,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-05-29,တင်း,"19,408",0,0.00%
151,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-05-30,တင်း,"19,867",459,2.37%
152,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-05-31,တင်း,"19,867",0,0.00%
